tweet_id,retweet_count,favorite_count,hashtags,jpg_url,dog_type,confidence_list,text,rating_numerator,rating_denominator,name,dogs_type,year,month,day,rating
892177421306343426,6077,32387,[],https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,32.3581,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10.0,Tilly,None,2017.0,8.0,1.0,1.3
891815181378084864,4019,24387,[],https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,71.60119999999999,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,None,2017.0,7.0,31.0,1.2
891689557279858688,8364,41033,[],https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador_retriever,16.808600000000002,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10.0,Darla,None,2017.0,7.0,30.0,1.3
891327558926688256,9078,39219,"[{'text': 'BarkWeek', 'indices': [129, 138]}]",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,55.5712,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,None,2017.0,7.0,29.0,1.2
891087950875897856,3007,19714,"[{'text': 'BarkWeek', 'indices': [129, 138]}]",https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,42.5595,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,None,None,2017.0,7.0,29.0,1.3
890971913173991426,1989,11530,[],https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,34.170300000000005,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,None,2017.0,7.0,28.0,1.3
890729181411237888,18262,63599,[],https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,56.614200000000004,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,None,None,2017.0,7.0,28.0,1.3
890609185150312448,4134,27096,"[{'text': 'BarkWeek', 'indices': [113, 122]}]",https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,48.757400000000004,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,None,2017.0,7.0,27.0,1.3
890240255349198849,7140,31082,[],https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,51.131899999999995,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,doggo,2017.0,7.0,26.0,1.4
890006608113172480,7095,29887,"[{'text': 'BarkWeek', 'indices': [121, 130]}]",https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,95.7979,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,10.0,Koda,None,2017.0,7.0,26.0,1.3
889880896479866881,4820,27087,[],https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,37.7417,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,10.0,Bruno,None,2017.0,7.0,25.0,1.3
889665388333682689,9718,46847,[],https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,96.6327,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13.0,10.0,None,puppo,2017.0,7.0,25.0,1.3
889638837579907072,4383,26411,[],https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,99.165,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12.0,10.0,Ted,None,2017.0,7.0,25.0,1.2
889531135344209921,2179,14728,"[{'text': 'BarkWeek', 'indices': [109, 118]}]",https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden_retriever,95.3442,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13.0,10.0,Stuart,puppo,2017.0,7.0,24.0,1.3
889278841981685760,5202,24588,"[{'text': 'BarkWeek', 'indices': [129, 138]}]",https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,62.6152,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13.0,10.0,Oliver,None,2017.0,7.0,24.0,1.3
888917238123831296,4360,28370,[],https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden_retriever,71.4719,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12.0,10.0,Jim,None,2017.0,7.0,23.0,1.2
888804989199671297,4142,24890,[],https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden_retriever,46.976,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13.0,10.0,Zeke,None,2017.0,7.0,22.0,1.3
888554962724278272,3424,19313,[],https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian_husky,70.0377,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13.0,10.0,Ralphus,None,2017.0,7.0,22.0,1.3
888078434458587136,3378,21194,[],https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French_bulldog,99.5026,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12.0,10.0,Gerald,None,2017.0,7.0,20.0,1.2
887705289381826560,5213,29417,[],https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,82.1664,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13.0,10.0,Jeffrey,None,2017.0,7.0,19.0,1.3
